소속사,그룹,연예인 이름,사건 날짜,사건 내용 (날짜+내용 전체)
YG,빅뱅,승리,2012년 9월 14일,"2012년 9월 14일 일본의 황색 잡지
프라이데이
에서 승리와 성관계를 가졌다는 여성의 인터뷰와 사진을 기사화했다. 또한 승리의
성벽에 대한 내용
[1]
도 담겼다. 이에 대해 YG는 아직 대응을 하지 않는 중이다. 사실 이걸 대응하는 것도 난감한 일이기는 하나, 개인적인 차원에서도 아무런 말도 없다는 것은 YG가 언제나 그러했듯이 무대응으로 나가는 것으로 방향을 잡았다는 것으로 보인다.
#
사생활 문제를 괜히 들춘다는
주장
도 있다. 다만 아이돌 스타라는 위치를 감안할 때 아무런 문제도 없다고 단정하기는 힘들다. 혼전 성행위보다는 기사에 적힌 성벽이 문제시될 만하다. 하지만 이러한 폭로 스캔들 기사들은 사진만 믿어야 한다는 말이 일본 현지의 공공연한 의견. 증거 사진이 합성이라는
주장
이 있지만 합성이 아니라는
반론
이 이어졌다.
9월 27일 4명의 멤버들만 무대에 오른 자리에서 빅뱅은 위의 일본 스캔들을 인정하고 팬들에게 사과를 했다. 지디는 ""승리는 잘 지내고 있다. 지금 일본에서 촬영 중이다.""라고 근황을 전했고 태양은
""허심탄회하게 얘기하겠다. 혼을 많이 냈다. (승리가) 반성하고 있다. 실수할 수 있는 것이고 사실 그런 실수를 저희는 같은 형제로서 용서해 주는 게 맞는 것이다. 저희가 안고 가야 할 문제이기도 하다. 승리를 혼냈고, 다시는 그러지 않도록 하겠다.""
라는 말로 무대응으로 일관한 당사자 승리와 소속사 YG와 달리 진심으로 인정하고 사죄하였다. 게다가 대성이 지금 자리에 없는 승리에게 사랑한다고 말하자고 하자, 태양은 ""사실 지금 사랑한다는 얘기는 못하겠다. 아직 반성의 시간이 더 필요하다""고 진지하게 책임지는 모습을 보였다.
#
그런데
노컷뉴스
에서는 태양을 비판하는 기사를 실어서 논란이 되었다. 지금은 기사가 삭제됐지만, 소속사에서 가만히 있는데 독단적으로 입장 표명을 했다는 식으로 태양을 비판했는데
애당초 소속사가 일을 제대로 했으면 태양이 어려운 일을 떠맡을 필요가 없었을 것이다
. 실제로 태양이 입장을 정리하고 분명하게 사죄를 밝히자
온갖 추측성 보도가 자취를 감췄다
. 후에 솔로 활동 때 SNL에 나와 이에 대해선 할 말이 있었는지 승리 자신이 직접 패러디를 하며 해명하기도 했다.
[2]
3.2.
부동산 사기 사건 논란
[편집]"
YG,빅뱅,승리,2016년 1월 5일,"2016년 1월 5일 기사가 올라온 기사에 의하면 승리가 12월 29일에 여가수 신씨
[3]
를 검찰에 고소했다고 한다. 그 이유인 즉슨 15년 6월에 여가수 신은성으로부터 자신이 추진하는 부동산 개발 사업에 투자하면 수십억원을 벌게 해주겠다는 제의를 받고 승리가 20억 원을 투자했고, 그 두 달 뒤 부동산 투자 법인의 출자금이 필요하다는 말에 5,000만 원을 추가로 건넸다고 한다. 하지만 자금을 건네고 1년이 넘도록 법인조차 만들어지지 않아, 신은성을 사기 혐의로 고소했는 내용. 서울동부지검은 승리가 수십억 원대 사기를 당했다는 고소가 접수돼 수사 중이라고 밝혔다.
관련 기사
,
YG 공식 입장
.
그러다가 며칠 후, 가수 신은성에게 연락이 닿아 고소를 취하하고 좋게 좋게 끝났다고 한다.
일각에서는 승리는 처음부터 사기를 당할 것을 알고 있었다는 주장도 있다. 승리의 아버지가 부동산 사업을 하시고, 승리 스스로도 재테크에 관심이 많다고 예전부터 쭉 말해왔기 때문. 따라서 손해볼 것을 알면서도 그냥 친한 누나를 돕고자 하는 마음으로 투자를 했으나 설마 이렇게까지 사기를 당할 줄은 몰랐던 것 같다는 의견이 빅뱅 팬들 내에서는 강한 듯하다.
하지만 1년 뒤
신은성 측이 승리 측을 상대로 부당이득반환소송을 제기했다
는 보도가 나왔다. 기사에 따르면 신은성 측 C사 관계자는 자신들이 연락두절이 된 게 아니라 ""오히려 2016년 1월부터 현재까지 건축시행 등을 위해 J사 측에 수차례 연락을 취하고 회사 앞에서 1인 시위를 해도 묵묵부답이었다""면서 ""이는 그동안 토지시세의 상승으로 인한 매매 차액 및 개발에 따른 가치상승 부분까지도 단독으로 차지하려는 의도로밖에 보이지 않는다""고 주장하는 상황인 듯.
하지만 후술하겠지만 정작 3년 후 그는 이보다 더 한 사태에 휘말리고 만다. 더군다나 3년 후 사태는
승리 본인이 핵심이자 가해자
고, 사태의 스케일도 더 크다.
3.3.
환각제 '해피벌룬' 흡입 논란
[편집]
'해피벌룬' 흡입 사진 파문..베트남 간 승리 ""조작"""
YG,빅뱅,승리,2017년 2월 19일,"2017년 2월 19일 사업을 위해
베트남
하노이
에 방문했는데
클럽
에서 환각을 일으키는 일명 ‘해피벌룬’(
아산화질소
)을 흡입하는 듯한 모습이 담긴 사진이 발견되어 논란을 일으켰다. 이에 대해 소속사
YG엔터테인먼트
는 승리에게 직접 확인한 결과 해당 사진은 교묘하게 찍힌 것으로 승리는 해피벌룬을 한 적이 없다고 했다""며, ""베트남 현지 보도는 명백한 오보이고 본인은 해당 사진에 대해 매우 억울해하고 있으며, 매우 개방적인 장소인 클럽에서 자신이 해피벌룬을 흡입했다는 것이 말이 되지 않는다고 항변하고 있다""고 밝혔다.
일단 경찰에서 실시한 마약 검사에서는
최초 음성 판정
이 나왔지만, 버닝썬 직원들이 마약 반응을 감추기 위해 수액을 맞거나 사우나에 갔었다는
제보
가 나오면서 아직 마약 흡입 사실이 없다고 단정할 수는 없다. 또한 아산화질소의 경우 하루면 배출이 되어 검출이 어려운 물질이다.
3.4.
해외 원정 도박 논란
[편집]
승리게이트 관련 기사 중 라스베이거스 원정 도박 의혹이 보도됐다. 승리는 단톡방에 ""라스베이거스에 가서 2억 원을 따왔다""며 돈다발 사진을 올리기도 하고 ""카지노에서 딴 돈은 '세이브뱅크'에 묻어두고 온다""고 했다고 한다.
검찰관계자는 ""세이브뱅크는 현지 카지노에서 운영하는 일종의 거래소와 같은 개념""이라면서 ""해외 원정도박꾼들이 이렇게 도박자금을 운용하며, 이는 무조건 외국환거래법을 위반하는 것""이라고 밝혔다.
#"
YG,빅뱅,승리,2019년 8월 8일,"2019년 8월 8일에는 양현석과 함께 라스베이거스 MGM호텔 VIP룸에서 도박을 했고, 주로 바카라를 플레이했으며 총 판돈으로 20억 원을 사용해 13억 원을 잃었다는 내용이
보도
됐다. 해당 VIP룸은 한화 15억 원을 예치해야 회원 자격을 얻는 곳으로, 경찰이 양현석과 승리의 출입 기록을 확보하고 조사 중인 것으로 알려졌다.
3.5.
기타 논란
[편집]
다음
에서 인터뷰를 했는데, 굳이 실명을 언급할 필요가 없음에도 실명을 거론하여 논란이 됐다. '인맥 좀 자랑해주세요.'란 질문에 함께 활동 중인
연예인
의 실명을 여러 번 거론하고 사적인 내용도 있어서 논란을 빚었다. 이후 승리는 인터뷰를 주의하겠다며 작게나마 사과를 전했으나, 사과문은 논란만큼 크게 퍼지지 않았다.
T.O.P
의 고기 사건 폭로와 탑탑탑 사건도 논란이 되었다. 이후 승리는 여기저기 방송을 돌며 멤버들의 폭로를 해명하느라 고생한 모양이다. 빅뱅이 예능에서 주로 승리를 희화화하며 팀킬을 시전하다 보니 일부 팬들은 빅뱅의 예능 일정을 달갑게 여기지 않는다. 승리의 2011년 GQ 인터뷰에 따르면 형들이 자신을 예능 소재거리로 삼는 것이 속상하기도 하지만 재밌기 위해서 어쩔 수 없이 했다고 한다.
Be.A
의 멤버 영균이
클럽 버닝썬 폭행 사건
을 통해 그를 저격하는 뉘앙스 글을 남겼다. 구체적 내용은 승리지만, 직접 이름 석 자를 거론하지는 않았고,
[4]
다만 삭제된 해시태그(#버닝썬 #물뽕 #성매매)를 보면 승리임이 100% 확실하다."
YG,빅뱅,승리,"2019년
3월 2일","2019년
3월 2일
인스타그램을 통해 글을 남겼는데, ""선배로서 한 마디 해주겠다며 스탭분들 다 보는 앞에서 '나랑 동갑 아닌가? 이만큼 해도 안되는 거면 기술이라도 배우는 게 낫지 않겠냐. 돈 벌어서 효도해야지'라고 조언이랍시고 비수를 꽂고 가시더니 이제 온 국민 앞에서 몇 배로 돌아가네요""라 전했다. 이어 ""효도는 늘 잘하고 있어요. 돈으로 효도하는 거 아니더라고요. 사람은 역시 겸손해야 된다는 걸 배우게는 해주셔서 감사하네요"" 라고 덧붙였다.
비에이 영균, '성접대 의혹' 승리 저격? ""비수 꽂더니 몇배로 돌아가…""
결국 논란이 지속되자 팬들도 갈라지는 현상이 벌어지고 말았다."
YG,빅뱅,승리,"2019년
3월 9일","2019년
3월 9일
빅뱅 갤러리에서는 끊임없는 논란으로 인한 이미지 실추로 다른 멤버들에게도 피해니
승리
를 퇴출하라는 성명문을 발표했고, 퇴출은 다른 멤버들에게 피해라며 이에 반발하는 목소리도 있다.
빅뱅 팬들 ""승리 퇴출"" vs ""타 멤버에도 피해"" 갈등
그나마도 다른 멤버들을 걱정하여 저런 반응을 보이는 거고, 당연하겠지만 승리를 옹호하는 목소리는 찾기 힘들다. 팬 외의 대중으로 눈을 돌리면 저기서 더 나아가
아예 그룹을 해체하라
는 냉소적인 반응부터,
차라리 대형 사건에 연루되지 않은
태양
만 남거나 빠져나오는 게 나을 것
이라는 이야기까지 나돈다."
YG,빅뱅,승리,2023년 10월 4일,"2023년 10월 4일, 승리의 양다리 설 기사가 떴다. 승리가 두 여성과 시간차로 '양다리' 발리 여행을 갔다는 것이였다. 지난 9월 1일 친구들 사이에서 공식적인 연인 관계를 선언했던 A와 9월 21일부터 25일까지 5박 6일 일정의 발리 여행을 갔다. 그리고 A와의 여행이 끝난 9월 25일부터 28일까지 또 다른 여성 B와 발리 여행을 다시 갔다고.
#
출소 후에도 변하지 않은 승리? 이번엔 두 여성과 시간차 '양다리' 발리 여행설
출소 후 해외여행을 다니고 있는 것과 전자발찌를 착용하지 않은 것도 논란이 되고 있다. 참고로 승리는 전자장치 부착 명령을 받지 않았다. 당연히 전자발찌 왜 안 채우냐는 반응도 있다."
YG,빅뱅,승리,2024년 1월 22일,"2024년 1월 22일 캄보디아 행사를 진행하던 중, 참석자들을 향해 손가락 욕설을 한 후
지드래곤
을 불러 오겠다는 발언을 하여 논란이 되었다.
중앙일보
,
조선일보
,
JTBC 사건반장
이 문서의 내용 중 전체 또는 일부는
BIGBANG/논란 및 사건 사고
문서의
r443
판,
3.5번 문단
에서 가져왔습니다.
이전 역사 보러 가기
스톰체대입시교육원
blog.naver.com/stormacademy
대체육관/교육원체육관/2022년40명중36명합격률 95%/건국대체교3년연속합격!
숨마투스 선릉 예체능전문관
blog.naver.com/summatussl
4월개강반
프리미엄반
학원시설
카카오톡
4월 슬로우스타트반 - 소수정예로 꼼꼼한 관리, 누구보다 빠르게, 남들과는 다르게
피스톤체대입시(마포점)
cafe.naver.com/mapopiston
타학원 재수생 삼수생이 가장많이 찾아오는학원입니다 높은 합격률과전국대학 컷보유
[1]
현재는 삭제된 기사이다
[2]
직접적으로 묻는 유희열의 질문에 ""왜곡된 부분이 많이 있다. 그리고 목이 졸리면 경찰에 신고해야지, 왜 잡지사에 신고하겠습니까?""라고 말했다.
[3]
이 문제의 신씨는 이후
신은성
(본명 정나라)으로 밝혀졌다.
[4]
믹스나인
기획사 투어 때 그를 심사한 인물이 승리였고, 영균에게 심사평가를 한 것이 그의 앙심을 산 듯하다. 물론 승리가 나이는 동갑이어도 연예계 경력에서 훨씬 선배인 것은 맞다. 하지만 ""나랑 동갑인데 이만큼 해도 안되면 기술이라도 배워라. 돈 벌어서
효도해야지
?""라는 조언이랍시고 아무런 쓸모도 없는 사실상 조롱에 가까운 내용이기 때문에 (편집이 되었는지 직접 말을 한 영상이 없다) 이건 선배고 뭐고 간에 인간성이 형편없다는 비난을 받아야 하는 것이 맞다. 애초부터 믹스나인에서
소리
에게 모욕적인 심사평을 한
양현석
마저도 좋은 소리를 못 들었는데, 그 양현석도 승리가 태어나기도 전에 연예계에서 구르던 까마득한 선배가 아니었던가? 그리고 아무리 선배라도 생각없이 아무렇게나 막말을 해서는 절대로 안 된다.
이 저작물은
CC BY-NC-SA 2.0 KR
에 따라 이용할 수 있습니다. (단, 라이선스가 명시된 일부 문서 및 삽화 제외)
기여하신 문서의 저작권은 각 기여자에게 있으며, 각 기여자는 기여하신 부분의 저작권을 갖습니다.
나무위키는 백과사전이 아니며 검증되지 않았거나, 편향적이거나, 잘못된 서술이 있을 수 있습니다.
나무위키는 위키위키입니다. 여러분이 직접 문서를 고칠 수 있으며, 다른 사람의 의견을 원할 경우 직접 토론을 발제할 수 있습니다.
장제원
노엘
만우절
김수현
폭싹 속았수다
윤석열
김유찬
마르티나(이터널 리턴)
이파리
박원순
장제원
It Only Takes a Minute
24초 전
뿔꼬마사슴벌레
24초 전
뿔(동음이의어)
25초 전
뿔고기
25초 전
It Is What It Is
25초 전
임유진(인터넷 방송인)
25초 전
바다(댄서)
26초 전
뿔 전사
26초 전
오종용
27초 전
뿔
27초 전
'성폭력 피소' 장제원 전 의원 숨진 채 발견…현장에 유서(종합2보)
尹대통령 '운명의 날'…헌재 탄핵심판 4일 오전 11시 선고(종합)
방콕지진서 무너지는 52층 다리 뛰어넘은 한국인…""가족 구하려""
심즈5 부재가 인조이에게는 기회?...김형준 디렉터가 말하는 심즈와의 경쟁
김수현, '120억 손배소'·카톡 분석 역효과?…'김수현 방지법' 청원 등장 [엑's 이슈]
더 보기
namu.wiki
Contáctenos
Términos de uso
Operado por umanle S.R.L.
Hecho con ❤️ en Asunción, República del Paraguay
Su zona horaria es
Asia/Seoul
Impulsado por the seed engine
This site is protected by reCAPTCHA and the Google
Privacy Policy
and
Terms of Service
apply. This site is protected by hCaptcha and its
Privacy Policy
and
Terms of Service
apply.
미래로"
YG,빅뱅,탑,2008년 11월 5일,"2008년 11월 5일, 항우울제를 다량 복용하고 병원에 실려간 사건이다.
#
당시 소속사와 본인은 자살 시도임을 부정했으나, 2017년에 대마초 흡연 논란으로 인한 자살 시도를 이때와 똑같은 방법으로 하였다.
2.2.
대마초 흡연
[편집]
자세한 내용은
T.O.P 대마초 흡연 사건
문서를 참고하십시오.
2.3.
군 복무 특혜 논란
[편집]
의경 복무 중 재복무 심사 결과
부적합
판정을 받아
의경
신분에서 퇴출됐다.
빅뱅 탑, 의경 신분 박탈된다...재복무심사서 '부적합'
결국"
YG,빅뱅,탑,2017년 8월 28일,"2017년 8월 28일 자로
육군
에서
보충역
판정을 내림에 따라 탑은 의경에서
강제 전역
됐으며, 나머지 기간
[1]
동안
사회복무요원
으로 복무할 것으로 전망되었다.
관련 기사
'
빅뱅 탑, 1월 용산구청 배치...사회복무 시작
' 기사에 따르면 병무청이 서울 용산구청 관계자에게 탑이 2018년 1월 중
사회복무요원
으로 배치될 것이라며 조만간 정식 공문
[2]
을 보낼 예정이라는 내용을 전달한 것으로 확인됐고, 용산구청 산하의 공예관으로 배치됐다.
사회복무요원으로 군 복무를 재개하면서 특혜 논란을 야기했다. 첫 출근부터 지각은 물론 구청장과의 개인 면담을 해 여론의 비난을 떠안았다. 디스패치의 보도에 의하면 다른 동료에 비해 3배 이상 많은 병가를 사용했으며 특히 휴일 앞뒤로 자주 아팠다고 한다.
#
사회복무요원으로 복무하면서 빅뱅은 신곡
꽃 길
음원을 발매 했는데, 이로 인해 탑이 겸직 금지 규정을 위반했다는 논란이 있었으나
병무청
이 '문제 없다'는 결론을 내린 것으로 알려졌다.
별 말썽 없이 의경에서 전역했다면,"
