월,김수현,정국,지드래곤,카이,슈가,육성재,승리,슬기,김현중,필릭스,나연,아이린,윈터,써니,장동건,RM,유리,제니,리아,하루토,지젤,방찬,김채원,지효,태일,루카스,리사,서은광,유노윤호,정원,백현,쟈니,소연,예리,태용,택연,서현,이성경,우기,태연,찬열,시원,윤제문,정우성,홍은채,임현식,윤재혁,니키,이정재,지민,이창섭,구하라,준케이,제이,닝닝,수영,휘인,닉쿤,조슈아,이특,화사,희철,첸,도겸,이승훈,다니엘,대성,은혁,민규,탑,웬디,던,채영,민혁,송민호,민지,프니엘,신동,티파니,현진,해찬,윈윈,런쥔,슈화
2015-05,7,0,0,0,0,0,0,0,1,0,0,0,0,<1,1,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,<1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06,10,0,0,0,0,0,0,0,1,0,0,0,0,<1,1,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,<1,0,<1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,6,0,0,0,0,0,<1,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,<1,0,1,<1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,<1,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0
2015-08,4,0,<1,0,0,0,0,0,1,0,0,0,0,<1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0
2015-09,4,0,0,0,0,0,0,0,1,0,0,0,0,<1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0
2015-10,4,0,0,0,0,0,0,<1,<1,<1,<1,0,0,0,1,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0
2015-11,3,0,0,0,0,0,0,0,<1,0,1,0,0,<1,1,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,3,0,0,0,0,0,0,0,1,0,1,0,0,<1,1,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0
2016-01,3,0,0,0,0,0,0,0,0,0,1,0,0,<1,1,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,1,0,<1,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,1,0,<1,<1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,1,0,<1,<1,0,0,1,0,0,0,<1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,3,0,0,0,0,0,0,0,<1,0,1,0,0,0,1,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,1,0,<1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,2,0,0,0,0,0,0,0,<1,0,2,0,0,0,1,0,<1,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,1,0,<1,<1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0
2016-06,2,0,0,0,0,0,0,0,<1,0,2,0,0,0,<1,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,1,0,<1,<1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,<1,0,0,0,0,0,0,<1,0,0,0,0,0,0,1,0,1,<1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0
2016-08,2,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,<1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0
2016-09,2,0,0,0,0,0,0,0,<1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,<1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0
2016-10,3,0,0,0,<1,0,0,0,0,0,2,0,0,0,1,0,<1,<1,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,<1,1,0,<1,<1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,1,0,0,0,0,0,<1,0,0,1,0,0,0,<1,0,0,0,0,0,0,1,0,<1,0,0,<1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,<1,1,0,0,0,0,0,<1,0,0,1,0,0,0,<1,0,0,0,0,0,0,1,0,<1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,2,0,0,0,0,0,<1,0,<1,0,2,0,0,<1,<1,0,<1,1,0,0,0,0,0,<1,0,0,1,0,0,0,<1,0,0,0,0,0,<1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02,2,0,0,0,0,0,0,0,<1,0,2,0,0,0,1,0,1,1,0,0,0,0,0,<1,0,0,<1,0,0,0,1,0,0,0,0,0,<1,1,0,<1,<1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03,1,0,0,0,0,0,0,0,<1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,<1,0,0,0,<1,0,0,0,0,0,0,1,0,<1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0
2017-04,2,0,0,0,0,0,0,0,<1,0,2,0,0,<1,1,0,<1,<1,0,0,0,0,0,<1,0,0,<1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,<1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05,2,0,0,0,0,0,0,0,0,0,2,0,0,<1,1,0,<1,1,0,0,0,0,0,<1,0,0,<1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07,6,0,0,0,0,0,0,0,<1,0,1,0,0,0,1,0,<1,2,0,0,0,0,0,<1,0,0,1,0,0,0,<1,0,0,0,0,0,0,1,0,<1,<1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08,2,0,0,0,0,0,0,0,<1,0,1,0,0,<1,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,<1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0
2017-09,1,0,0,0,0,0,0,0,0,0,1,0,0,0,<1,0,<1,1,0,0,0,0,0,0,0,0,<1,0,0,0,<1,0,0,0,0,0,0,<1,0,<1,0,0,0,1,0,0,0,0,1,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,<1,2,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,<1,<1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11,2,0,0,0,0,0,0,0,0,0,1,<1,0,<1,<1,0,<1,1,0,0,0,0,0,<1,0,0,0,0,0,0,<1,0,0,<1,0,0,<1,<1,0,<1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,2,0,0,0,0,0,0,0,<1,0,2,0,0,<1,1,0,<1,1,0,0,0,0,0,1,0,0,<1,0,0,0,0,0,0,0,0,0,<1,<1,0,0,0,0,0,2,0,0,0,0,1,<1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01,2,0,0,<1,0,0,0,0,0,0,1,0,0,0,1,0,<1,1,0,0,0,0,0,<1,0,0,<1,0,0,0,<1,0,0,0,0,0,<1,<1,0,<1,0,0,<1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02,1,0,0,0,0,0,0,0,0,0,1,<1,0,0,<1,0,0,1,0,0,0,0,0,0,0,0,<1,0,0,0,<1,0,0,0,0,0,<1,<1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03,1,0,0,0,0,0,<1,0,0,0,1,0,0,0,1,0,<1,1,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,1,0,0,0,0,<1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0
2018-04,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,<1,0,0,<1,0,0,0,<1,0,0,0,0,0,<1,<1,0,0,<1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0
2018-05,1,0,0,0,0,0,0,0,<1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,<1,0,0,<1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,<1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0
2018-06,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,<1,3,0,0,0,0,0,<1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,<1,0,0,0,1,0,0,0,0,1,0,0,<1,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0
2018-07,2,0,0,0,0,0,0,0,0,0,1,0,0,0,<1,0,<1,3,0,0,0,0,0,1,0,0,1,0,0,0,<1,0,0,0,0,0,0,<1,0,<1,0,0,0,1,0,0,0,0,1,0,0,<1,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08,2,0,0,0,0,0,0,0,<1,0,1,0,0,<1,<1,0,0,2,0,0,0,0,0,<1,0,0,1,0,0,0,<1,0,0,0,0,0,0,<1,0,<1,0,0,0,1,0,0,0,0,<1,<1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2018-09,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,<1,1,0,0,0,0,0,0,0,0,<1,0,0,0,<1,0,0,0,0,0,0,<1,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-10,2,0,0,0,0,0,0,0,<1,0,1,0,0,<1,1,0,<1,1,0,0,0,0,0,<1,0,0,<1,0,0,0,<1,0,0,0,0,0,0,<1,0,0,0,0,0,1,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0
2018-11,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,<1,0,0,0,<1,0,0,0,0,0,0,<1,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0
2018-12,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,<1,1,0,0,0,0,0,1,0,0,<1,0,0,0,<1,0,0,0,0,0,0,<1,0,<1,<1,0,0,1,0,0,0,0,<1,0,0,3,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0
2019-01,1,0,0,<1,0,0,0,0,0,0,1,<1,0,0,<1,0,0,1,0,0,0,0,0,<1,0,0,<1,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,<1,0,0,3,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0
2019-02,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,<1,0,0,<1,0,0,0,0,0,0,0,0,0,0,<1,0,<1,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0
2019-03,1,<1,0,0,0,0,<1,0,0,0,1,<1,0,0,1,0,1,4,0,0,0,0,0,5,0,0,<1,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0
2019-04,1,0,0,0,0,0,0,0,0,0,1,0,0,0,<1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,1,0,0,0,0,1,<1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0
2019-05,1,0,0,0,0,0,0,0,0,0,1,0,0,0,<1,0,<1,1,0,0,0,0,0,<1,0,0,<1,0,0,0,<1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,<1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06,1,0,0,0,0,0,0,0,<1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,<1,0,0,<1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0
2019-07,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,<1,0,0,0,<1,0,0,0,0,0,0,<1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0
2019-09,2,0,0,0,0,0,0,0,0,0,1,0,0,<1,1,0,<1,1,0,0,0,0,0,<1,0,0,<1,0,0,0,0,0,0,0,0,0,0,<1,0,<1,0,0,0,1,0,0,0,0,<1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0
2019-10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,<1,0,<1,1,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,<1,0,0,0,0,0,1,0,0,0,0,<1,0,0,1,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,<1,0,0,0,1,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-12,2,0,0,<1,0,0,0,0,0,0,1,0,0,<1,1,0,0,1,0,0,0,0,0,0,0,0,<1,0,0,0,<1,0,0,0,0,0,0,<1,0,<1,<1,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,<1,0,0,0,0
2020-01,2,0,0,<1,0,0,0,0,0,0,1,0,0,0,13,0,<1,1,0,0,0,0,0,<1,0,0,<1,0,0,0,<1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0
2020-02,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,<1,1,0,0,0,0,0,<1,0,0,<1,0,0,0,<1,0,0,0,0,0,<1,1,0,<1,0,0,0,1,0,0,0,0,<1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0
