소속사,그룹,연예인 이름,텍스트
SM,엑소,시우민,
SM,엑소,수호,
SM,엑소,백현,"백현/논란 및 사건 사고 - 나무위키
최근 변경
최근 토론
특수 기능
백현/논란 및 사건 사고
최근 수정 시각:
2025-04-19 15:34:12
3
편집 요청
편집 요청
이용중인 IP는 문서 훼손행위가 자주 발생하는 IP이므로 로그인이 필요합니다.
(이 메세지는 같은 인터넷 공급업체를 사용하는 다른 누군가로 인해 발생했을 가능성이 높습니다.) (#98793)
만료일: 무기한
사유: 동국대학교 공용 IP
편집 권한이 부족한 경우 아래의 '편집 요청' 버튼으로 편집 요청을 생성할 수 있습니다.
[편집 요청 도움말]
편집 요청
닫기
토론
역사
분류
백현
EXO/사건 사고
대한민국의 인물별 논란
상위 문서:
백현
관련 문서:
EXO/논란 및 사건 사고
주의. 사건·사고 관련 내용을 설명합니다.
사건 사고 관련 서술 규정
을 유의하시기 바랍니다.
[ 음반 목록 ]
한국 음반
City Lights
미니 1집
2019. 07. 10.
Delight
미니 2집
2020. 05. 25.
놀이공원 (Amusement Park)
디지털 싱글
2020. 12. 21.
Bambi
미니 3집
2021. 03. 30.
Hello, World
미니 4집
2024. 09. 06.
Essence of Reverie
미니 5집
2025. 05. 19.
일본 음반
BAEKHYUN
미니 1집
2021. 01. 20.
[ 참여 음반 ]
두근거려 (Beautiful)
우리 옆집에 EXO가 산다 OST
2015. 04. 22.
One Dream One Korea
(Original Ver.)
콜라보
2015. 09. 21.
비처럼 음악처럼
콜라보
2015. 12. 28.
Dream
콜라보
2016. 01. 07.
The Day
SM STATION
2016. 05. 13.
비가와
콜라보
2017. 02. 14.
바래다줄게
(Take You Home)
SM STATION 2
2017. 04. 14.
YOUNG
SM STATION X 0
2018. 08. 31.
너를 사랑하고 있어
낭만닥터 김사부 2 OST
2020. 01. 07.
너에게 가는 이 길 위에서 (너.이.길)
하이에나 OST
2020. 02. 29.
나의 시간은
청춘기록 OST
2020. 09. 22.
happy
브람스를 좋아하세요? OST
2020. 10. 06.
Runner
콜라보
2021. 02. 01.
인형
콜라보
2021. 03. 12.
Bambi Remixes
iScreaM
2021. 04. 23.
Hurt
콜라보
2021. 05. 10.
U
어느 날 우리 집 현관으로 멸망이 들어왔다 OST
2021. 05. 31.
또 새벽이 오면
피처링
2021. 07. 21.
나인가요
홍천기 OST
2021. 08. 31.
Hello
낭만닥터 김사부 3 OST
2023. 04. 28.
PARANOIA
콜라보
2023. 10. 23.
The Last Christmas
콜라보
2024. 12. 10.
Do What You Do
콜라보
2025. 03. 03.
[ 출연 작품 ]
드라마
우리 옆집에 EXO가 산다
백현
2015
달의 연인 - 보보경심 려
왕은
2016
뮤지컬
싱잉 인 더 레인
돈 락우드
2014
[ 관련 문서 ]
활동
음반
방송
직캠
유튜브
공연 및 행사
수상 경력
기타
TEOLAEGI
INB100
공식 굿즈
사건 사고
1
. 개요
2
.
태연과의 열애설
3
.
우울증
발언 논란
4
. 일반인 전화번호 공개
5
. 실내 흡연 논란
1.
개요
[편집]
백현
의 논란 및 사건 사고를 정리한 문서.
2.
태연과의 열애설
[편집]
자세한 내용은
태연-백현 열애설
문서를 참고하십시오.
3.
우울증
발언 논란
[편집]
2017년 12월 30일, 서울 강남구에서 진행한 엑소 팬 사인회에서 멘트 때 ""요즘 우울한 분들이 많은 것 같다""(시기상 이와같은 이야기를 나눈 팬들이 많았다고 전해진다)고 말문을 열며 ""
우울증에 걸리는 이유를 모르겠다
"" 라고 전했는데, 이 발언의 녹취록이 온라인상에 퍼지며 큰 논란을 불러일으켰다.
처음 이야기가 나오게 된 연유는 팬과의 대화 중 민감하게 받아들여질 수 있는 고민을 짧은 시간 안에 위로하고자 하는 과정이 미흡해 오해의 소지가 있었고 이에 대해 갑론을박이 이어졌다. 당시 백현과 이야기를 나눈 당사자는 충분히 위로를 받았다고 알렸으나
#
백현의 발언을 두고 전문가들은 같은 소속사 아이돌 선배인
종현
이 극단적인 선택을 한지 불과 얼마 되지 않았던 시기였다는 점에서 분위기 자체가 들썩이는 상황에서 “우려스러운 발언”이라고 지적하기도 했다.
#관련기사
이와 관련해 논란이 확산되자 백현이 직접 자신의 인스타그램에 사과문을 게시했다.
[1]
아티스트 사과문 전문
[ 펼치기 · 접기 ]
안녕하세요 백현입니다. 12월 30일 팬사인회 현장에서 있었던 제 발언과 관련해 직접 사과를 드리고 싶어서 이렇게 글을 올립니다.
저는 사실 요즘 우울증에 대해 많이 겁이나 있고 과민한 상태였어요. 그런데 현장에서 그 팬분과 꽤 많은 이야기를 나누면서 너무 걱정이 됐고 덜컥 겁이 났어요. 제가 행복하게 해주고 싶은 팬이 즐거움으로 가득 차야 하는 팬사인회에서 저에게 털어놓은 이야기가 꽤 심각하게 느껴졌고, 이 팬과 오늘 이 자리에서 헤어지면 다시는 이야기를 나눌 수 없다는 생각에 마음이 많이 조급했던 것 같아요. 한 마디라도 더 위로하고 싶었고 저를 좋아한다고 했으니까 제 말이 힘이 될 수 있을 텐데라는 생각에 오늘 이 자리에서 빨리 어떻게든 해주고 싶었어요. 그 팬 분과 이야기 한 후 팬사인회가 끝날 때까지 그 생각에 빠져 있었던 것 같아요..그래서 그 팬분은 물론 현장에 오신 팬 분들께도 우울하고 힘든 일이 있어도 엑소는 물론 옆에 좋은 분들이 있으니 힘내시라는 말을 하는 과정에서, 경솔하게 말한 부분이 있었습니다. 제 마음을 짧은 시간에 잘 정리해서 전달할 수 있는 능력도 없으면서 섣부르게 말을 꺼냈어요. 제가 그 순간 왜 그런 말, 단어를 선택했는 지 후회됩니다. 정말 위로하고 힘을 내라고 하고 싶은 마음뿐이었는데..
지금 이 글을 쓰고 있는 중에도 또 제 글에 실수가 있지는 않을까 두려워요. 하지만 진심으로 사과드리고 싶어요. 그 팬분께도 죄송하고 이 일로 인해 상처받은 모든 분들에게 죄송하다는 말씀 드리고 싶습니다. 앞으로는 말과 행동을 더욱 신중히 하는 백현이 되겠습니다.
4.
일반인 전화번호 공개
[편집]
2018년 2월 14일, 자신의 SNS를 통해 실시간 방송을 진행하던 중 '사생'에게 전화가 걸려와 방송이 자꾸 끊겨버리는 사태가 발생했고 팬들에게 이 사실을 호소하며 해당 번호를 '사생의 전화번호'라고 밝히며 공개했다. 이는 일명 공개 처형 방식. 그러나 중요한 건 백현이 공개했던 번호가 사실은 사생의 번호가 아닌,
일반인의 번호
였다. 번호를 잘못 불러 일반인의 번호가 유출되는 사고가 일어난 것.
백현은 SNS에 일부 번호를 공개한 뒤 15일에 “제 실수로 인해 더 이상 피해보시는 분들이 없었음 좋겠습니다. 그리고 저한테도 전화하지 말아 주세요.” 등의 내용을 담은 글을 올려 사과의 말을 전했다.
#
백현 팬들은 이에 대해 '과거에도 다른 연예인들이 이와 같은 사건이 있었지만 문제가 없었다', '얼마나 힘들었으면 저런 행동을 취했겠냐' 등 백현을 옹호하기도 했다. 하지만 과거의 다른 사건들과 반응에 대한 비교 등과 상관없이 해당 사건이 아무 관련 없는 일반인에게 피해를 준 것은 사실이므로 대처가 잘못되었으며 이에 대해 백현이 반성해야 한다는 것도 있었다.
그만큼
사생
때문에 겪는 백현의 고충이 심하기 때문에 과한 대응은 아니라는 의견도 있다.
#
이때 피해자가 자신의 부모라며 팬들에게 테러를 당했다고 사칭한 사람도 있었는데, 이는 안티팬(같은 그룹 멤버의 악성 개인팬)의 조작으로 알려져 사과문을 쓰고 트위터 계정은 폭파됐다.
5.
실내 흡연 논란
[편집]
2024년 9월 16일, 백현이 식당으로 추정되는 곳에서 실내 흡연을 하는 영상이 16일 사회관계망서비스(SNS)
X(구 트위터)
에서 확산되고 있었다.
해당 영상에서 백현은 구석 자리에 앉아 대화를 나누다 담배를 피웠다. 담배를 흡입하고 연기를 내뿜는 모습이 연기에 담겼다. 해당 자리에는 남녀 스태프로 추정되는 이들이 함께 자리했다고 알려졌다.
#
16일 백현 소속사
INB100
측은 ""현재 인터넷에 떠도는 당사 소속 아티스트 백현의 실내 흡연 관련 불편함을 느끼신 모든 분께 진심으로 사과드립니다""라고 인정했다.
이어 ""당시 백현과 저희 스태프들은 마카오가 전자담배 반입이 금지된 곳인지 전혀 인지하지 못하였습니다""라며 ""그런 가운데 마카오 공연 후 스태프들과 식사를 하던 중 대화가 무르익어가자 무의식적으로 전자담배를 사용하였습니다""라고 문제가 된 장소가 마카오였다고 전했다.
INB100 공식입장 전문
#
[ 펼치기 · 접기 ]
안녕하세요. INB100입니다.
현재 인터넷에 떠도는 당사 소속 아티스트 백현의 실내 흡연 관련 불편함을 느끼신 모든 분께 진심으로 사과드립니다.
당시 백현과 저희 스태프들은 마카오가 전자담배 반입이 금지된 곳인지 전혀 인지하지 못하였습니다. 그런 가운데 마카오 공연 후 스태프들과 식사를 하던 중 대화가 무르익어가자 무의식적으로 전자담배를 사용하였습니다.
백현은 자신의 부주의한 행동으로 많은 팬분들께 실망을 드린 점 머리 숙여 깊이 죄송하게 생각하고 있습니다.
당사와 백현은 앞으로도 이런 일이 반복되지 않도록 더욱더 주의를 기울일 것이며, 팬분들께 이러한 상황으로 실망시키지  않을 것임을 약속드리겠습니다.
또한 더욱더 성숙한 모습을 보여드리기 위해 최선을 다하겠습니다.
다시 한번 많은 분들께 심려를 끼쳐드리고, 불편함을 느끼게 해드린 점 진심으로 머리 숙여 사과드립니다. 죄송합니다.
[1]
전역 후 인스타그램 게시물을 전부 삭제하면서 사과문도 삭제되었다.
이 문서의 내용 중 전체 또는 일부는
백현
문서의
r2586
판,
6번 문단
에서 가져왔습니다.
이전 역사 보러 가기
VZR2FHC+
서울랜트카,렌트투어 강남
knrentacar.co.kr
마세라티,포르쉐,벤츠,아우디,BMW 수입차 사고(보험)대차,24시상담!무료딜리버리
서울랜트카 렉스렌터카
sirent.net
무료 배회차,전차량 열선,씨트,핸들,썬루프,블박,정품3D네비,24시간 친절상담
VVIP 결혼정보회사 엔노블
www.nnoble.co.kr
가입비테스트
노블테스트
이상형테스트
매력도테스트
SKY 동문회 단독제휴! 100억이상 자산가 1,002명, 업계최초 성혼주의 시행
VZR2FHC+
이 저작물은
CC BY-NC-SA 2.0 KR
에 따라 이용할 수 있습니다. (단, 라이선스가 명시된 일부 문서 및 삽화 제외)
기여하신 문서의 저작권은 각 기여자에게 있으며, 각 기여자는 기여하신 부분의 저작권을 갖습니다.
나무위키는 백과사전이 아니며 검증되지 않았거나, 편향적이거나, 잘못된 서술이 있을 수 있습니다.
나무위키는 위키위키입니다. 여러분이 직접 문서를 고칠 수 있으며, 다른 사람의 의견을 원할 경우 직접 토론을 발제할 수 있습니다.
이승기
견미리
skt
한덕수
서유리
우렉 마지노
이재명
전세계(신병 드라마)
산불
21대 대선
이승기
카와카미 프린세스(우마무스메 프리티 더비)/인게임 정보
29초 전
아편전쟁
31초 전
시누아즈리
31초 전
컴투스프로야구2025
32초 전
장흥 임씨
32초 전
라이선스
33초 전
단간론파 어나더 시리즈/기타 등장인물
35초 전
캬리 파뮤파뮤
35초 전
노권철
40초 전
에네즈
41초 전
푸틴, 김정은에 파병 감사…러 ""필요시 北에 군사지원""(종합2보)
대구 산불 확산에 '국가소방동원령'…요양시설 거주자 61명 대피(종합2보)
교황 선출 콘클라베 내달 7일 개시…가톨릭 새 수장은 누구(종합)
국민의힘 '2강' 가리는 2차 대선경선 당원투표 51%로 마감
이주호, 고교 흉기 난동에 ""매우 송구…대응방안 논의 착수""
더 보기
namu.wiki
Contáctenos
Términos de uso
Operado por umanle S.R.L.
Hecho con ❤️ en Asunción, República del Paraguay
Su zona horaria es
Asia/Seoul
Impulsado por the seed engine
This site is protected by reCAPTCHA and the Google
Privacy Policy
and
Terms of Service
apply. This site is protected by hCaptcha and its
Privacy Policy
and
Terms of Service
apply."
